ID,Date,Time,Treatment,Weight_g,Linalool_ngpg,Methyl_salicylate_ngpg,Carophyllene_ngpg
B73_1_812_24HRB,8_12,24,B73,4.4835,0.1868125,1.56506781,1.167842227
B73_1_812_48HRB,8_12,48,B73,4.4835,0.09340625,2.710427254,0.911150716
B73_10_819_24HRB,8_19,24,B73,6.08,0.253333333,0.509696945,1.880231092
B73_10_819_48HRB,8_19,48,B73,6.08,0.126666667,7.234856032,1.949745685
B73_11_826_24HRB,8_26,24,B73,2.7,0.1125,3.475112415,1.214874396
B73_11_826_48HRB,8_26,48,B73,2.7,0.05625,4.370604668,0.525360829
B73_12_826_24HRB,8_26,24,B73,2.68,0.111666667,3.412471298,0
B73_12_826_48HRB,8_26,48,B73,2.68,0.055833333,4.037621139,1.097986024
B73_14_826_24HRB,8_26,24,B73,4.34,0.180833333,1.476941172,1.266150814
B73_14_826_48HRB,8_26,48,B73,4.34,0.090416667,3.179107406,2.644849322
B73_15_826_24HRB,8_26,24,B73,3.4,0.141666667,1.80752328,2.331532992
B73_15_826_48HRB,8_26,48,B73,3.4,0.070833333,4.269133103,2.48694319
B73_2_812_24HRB,8_12,24,B73,4.4835,0.1868125,1.451811659,3.80138624
B73_2_812_48HRB,8_12,48,B73,4.4835,0.09340625,2.006354086,3.094520465
B73_4_812_24HRB,8_12,24,B73,7.38,0.3075,1.181542449,2.795023774
B73_4_812_48HRB,8_12,48,B73,7.38,0.15375,0.683075676,2.364553166
B73_5_812_24HRB,8_12,24,B73,3.28,0.136666667,0.371787145,0.349035219
B73_5_812_48HRB,8_12,48,B73,3.28,0.068333333,0.545738096,0.241289731
B73_7_819_24HRB,8_19,24,B73,3.81,0.15875,1.160065629,2.583109458
B73_7_819_48HRB,8_19,48,B73,3.81,0.079375,0.391729994,2.783382505
B73_8_819_24HRB,8_19,24,B73,4.93,0.205416667,0.134556595,0.060992204
B73_8_819_48HRB,8_19,48,B73,4.93,0.102708333,0.548361694,0.259651814
B73_9_819_24HRB,8_19,24,B73,6.235,0.259791667,4.083465096,2.09512485
B73_9_819_48HRB,8_19,48,B73,6.235,0.129895833,13.10053697,1.983688742
UE_1_812_24HRB,8_12,24,UE,2.6093,0.108720833,14.24864106,23.07009519
UE_1_812_48HRB,8_12,48,UE,2.6093,0.054360417,338.4321783,147.1761917
UE_10_819_24HRB,8_19,24,UE,2.67,0.11125,24.19500434,17.785459
UE_10_819_48HRB,8_19,48,UE,2.67,0.055625,163.9128069,54.42111113
UE_11_819_24HRB,8_19,24,UE,4.16,0.173333333,20.41976853,4.17350881
UE_11_819_48HRB,8_19,48,UE,4.16,0.086666667,27.04923312,4.389519624
UE_12_819_24HRB,8_19,24,UE,2.38,0.099166667,11.91411502,19.40825879
UE_12_819_48HRB,8_19,48,UE,2.38,0.049583333,60.94970924,13.4319052
UE_13_826_24HRB,8_26,24,UE,2.21,0.092083333,63.05952087,3.297652545
UE_13_826_48HRB,8_26,48,UE,2.21,0.046041667,72.86332059,6.817028782
UE_14_826_24HRB,8_26,24,UE,2.2,0.091666667,195.0144958,3.454871429
UE_14_826_48HRB,8_26,48,UE,2.2,0.045833333,128.4293683,3.516961539
UE_15_826_24HRB,8_26,24,UE,2.96,0.123333333,207.3425968,3.056370821
UE_15_826_48HRB,8_26,48,UE,2.96,0.061666667,121.13859,5.827934864
UE_16_826_24HRB,8_26,24,UE,2.77,0.115416667,15.13751307,2.424384122
UE_16_826_48HRB,8_26,48,UE,2.77,0.057708333,47.41505909,2.634674124
UE_17_826_24HRB,8_26,24,UE,2.4,0.1,58.34249961,3.74347382
UE_17_826_48HRB,8_26,48,UE,2.4,0.05,176.145923,7.654504708
UE_18_826_24HRB,8_26,24,UE,3.34,0.139166667,60.09404062,2.112265455
UE_18_826_48HRB,8_26,48,UE,3.34,0.069583333,79.49076939,2.686048705
UE_2_812_24HRB,8_12,24,UE,2.6093,0.108720833,44.1238043,32.08556049
UE_2_812_48HRB,8_12,48,UE,2.6093,0.054360417,116.4274551,16.41229369
UE_3_812_24HRB,8_12,24,UE,2.6093,0.108720833,11.26626863,17.44995823
UE_3_812_48HRB,8_12,48,UE,2.6093,0.054360417,63.8908589,31.78205786
UE_4_812_24HRB,8_12,24,UE,3.06,0.1275,43.31250672,10.50208316
UE_4_812_48HRB,8_12,48,UE,3.06,0.06375,11.62925691,1.187132517
UE_5_812_24HRB,8_12,24,UE,2.08,0.086666667,44.63985024,7.134998722
UE_5_812_48HRB,8_12,48,UE,2.08,0.043333333,4.008121812,0.813955452
UE_6_812_24HRB,8_12,24,UE,2.32,0.096666667,14.62743227,3.852986147
